timestamp,elapsed_s,phase,gpu_index,power_usage,power_limit,temperature,gpu_utilization,total_power,above_power_alert
1775890428.226,1.05,baseline,3,18.36,350.0,41,0,244.69,False
1775890430.492,3.32,baseline,3,18.34,350.0,41,0,226.33,False
1775890432.797,5.62,baseline,3,28.91,350.0,42,0,234.42,False
1775890435.298,8.12,baseline,3,18.3,350.0,41,0,240.19,False
1775890437.722,10.55,load_ramp,3,18.32,350.0,41,0,227.46,False
1775890440.037,12.86,load_ramp,3,62.87,350.0,46,3,268.29,False
1775890442.388,15.21,load_ramp,3,324.24,350.0,59,100,545.3,True
1775890443.377,16.2,post_action,3,265.42,261.0,58,100,479.66,False
1775890445.606,18.43,post_action,3,260.72,261.0,58,100,468.26,False
1775890447.821,20.65,post_action,3,259.82,261.0,59,100,467.69,False
1775890450.329,23.16,post_action,3,261.03,261.0,61,100,487.18,False
1775890452.798,25.62,post_action,3,260.96,261.0,62,100,468.71,False
1775890455.042,27.87,post_action,3,259.82,261.0,63,100,467.64,False
1775890457.317,30.14,post_action,3,260.23,261.0,64,100,476.0,False
1775890459.536,32.36,post_action,3,259.74,261.0,65,100,467.95,False
1775890461.915,34.74,post_action,3,261.29,261.0,66,100,469.31,False
1775890464.254,37.08,post_action,3,261.27,261.0,67,100,487.31,False
1775890466.548,39.37,post_action,3,260.39,261.0,68,100,468.51,False
1775890468.845,41.67,post_action,3,259.9,261.0,69,100,467.95,False
1775890471.185,44.01,post_action,3,259.56,261.0,70,100,485.08,False
1775890473.522,46.35,post_action,3,260.95,261.0,71,100,468.8,False
1775890475.759,48.59,post_action,3,260.06,261.0,72,100,467.38,False
1775890478.049,50.88,post_action,3,260.95,261.0,73,100,483.31,False
1775890480.322,53.15,post_action,3,261.1,261.0,74,100,469.29,False
1775890482.593,55.42,post_action,3,259.5,261.0,75,100,465.57,False
