timestamp,elapsed_s,phase,gpu_index,gpu_role,power_usage,power_limit,temperature,gpu_utilization,total_power,above_power_alert
1775893480.903,1.11,baseline,1,governance,33.22,350.0,58,0,233.93,False
1775893480.903,1.11,baseline,3,control,28.92,350.0,42,0,233.93,False
1775893483.139,3.34,baseline,1,governance,32.77,350.0,58,0,229.08,False
1775893483.139,3.34,baseline,3,control,18.56,350.0,41,0,229.08,False
1775893485.401,5.61,baseline,1,governance,44.91,350.0,59,0,235.5,False
1775893485.401,5.61,baseline,3,control,18.2,350.0,41,0,235.5,False
1775893487.762,7.97,baseline,1,governance,32.92,350.0,58,0,234.72,False
1775893487.762,7.97,baseline,3,control,29.42,350.0,42,0,234.72,False
1775893490.17,10.37,load_ramp,1,governance,32.62,350.0,58,0,224.33,False
1775893490.17,10.37,load_ramp,3,control,18.41,350.0,41,0,224.33,False
1775893492.507,12.71,load_ramp,1,governance,44.96,350.0,59,0,236.88,False
1775893492.507,12.71,load_ramp,3,control,18.36,350.0,41,0,236.88,False
1775893494.827,15.03,load_ramp,1,governance,32.77,350.0,58,0,233.91,False
1775893494.827,15.03,load_ramp,3,control,29.13,350.0,42,0,233.91,False
1775893497.217,17.42,load_ramp,1,governance,32.62,350.0,58,0,223.95,False
1775893497.217,17.42,load_ramp,3,control,18.86,350.0,41,0,223.95,False
1775893499.605,19.81,load_ramp,1,governance,266.96,350.0,73,100,690.42,False
1775893499.605,19.81,load_ramp,3,control,250.63,350.0,58,100,690.42,False
1775893501.885,22.09,load_ramp,1,governance,348.37,350.0,76,100,847.94,True
1775893501.885,22.09,load_ramp,3,control,325.77,350.0,60,100,847.94,True
1775893502.971,23.18,post_action,1,governance,275.38,279.0,73,100,775.11,False
1775893502.971,23.18,post_action,3,control,325.96,350.0,61,100,775.11,True
1775893505.208,25.41,post_action,1,governance,278.31,279.0,74,100,778.64,False
1775893505.208,25.41,post_action,3,control,323.66,350.0,62,100,778.64,True
1775893507.481,27.68,post_action,1,governance,278.54,279.0,75,100,779.13,False
1775893507.481,27.68,post_action,3,control,326.37,350.0,64,100,779.13,True
1775893509.72,29.92,post_action,1,governance,276.88,279.0,77,100,777.76,False
1775893509.72,29.92,post_action,3,control,326.85,350.0,65,100,777.76,True
1775893511.969,32.17,post_action,1,governance,279.13,279.0,77,100,780.81,False
1775893511.969,32.17,post_action,3,control,325.87,350.0,66,100,780.81,True
1775893514.2,34.4,post_action,1,governance,277.89,279.0,79,100,782.49,False
1775893514.2,34.4,post_action,3,control,329.94,350.0,68,100,782.49,True
1775893516.441,36.64,post_action,1,governance,277.31,279.0,80,100,780.02,False
1775893516.441,36.64,post_action,3,control,328.73,350.0,69,100,780.02,True
1775893518.748,38.95,post_action,1,governance,277.33,279.0,81,100,779.61,False
1775893518.748,38.95,post_action,3,control,326.12,350.0,71,100,779.61,True
1775893521.037,41.24,post_action,1,governance,278.74,279.0,82,100,784.77,False
1775893521.037,41.24,post_action,3,control,330.16,350.0,72,100,784.77,True
1775893523.355,43.56,post_action,1,governance,279.04,279.0,83,100,781.69,False
1775893523.355,43.56,post_action,3,control,327.52,350.0,73,100,781.69,True
1775893525.634,45.84,post_action,1,governance,277.41,279.0,84,100,781.14,False
1775893525.634,45.84,post_action,3,control,328.4,350.0,74,100,781.14,True
1775893527.953,48.16,post_action,1,governance,277.91,279.0,85,100,782.69,False
1775893527.953,48.16,post_action,3,control,328.16,350.0,76,100,782.69,True
1775893530.317,50.52,post_action,1,governance,249.71,250.0,85,100,752.47,False
1775893530.317,50.52,post_action,3,control,328.28,350.0,78,100,752.47,True
1775893532.66,52.86,post_action,1,governance,249.76,250.0,85,100,755.69,False
1775893532.66,52.86,post_action,3,control,329.62,350.0,78,100,755.69,True
1775893535.032,55.24,post_action,1,governance,249.62,250.0,85,100,758.21,False
1775893535.032,55.24,post_action,3,control,331.77,350.0,80,100,758.21,True
1775893537.327,57.53,post_action,1,governance,249.5,250.0,86,100,755.52,False
1775893537.327,57.53,post_action,3,control,329.67,350.0,81,100,755.52,True
1775893539.652,59.86,post_action,1,governance,249.56,250.0,87,100,756.68,False
1775893539.652,59.86,post_action,3,control,330.81,350.0,82,100,756.68,True
1775893541.921,62.13,post_action,1,governance,249.88,250.0,88,100,762.27,False
1775893541.921,62.13,post_action,3,control,330.8,350.0,83,100,762.27,True
